Gene.symbol	adj.P.Val	logFC
IL15	1.52408846515724e-07	-2.16117913266667
	2.38460941158985e-07	-1.88301398477778
CD1D	3.142525528446e-07	-3.07435987461111
DAGLA	3.1963986489771e-07	-1.43547257477778
SIGLEC16	3.1963986489771e-07	-1.96766037394445
APOA2	3.1963986489771e-07	-1.56812830944444
NRG1	6.34764191650608e-07	-1.46316827
FCN1	7.21395249456854e-07	-3.50971278611112
ANKRD34B	7.44126077685967e-07	-1.73533847338889
ZNF385A	7.44126077685967e-07	-2.12172373422222
	9.04603235136578e-07	-1.50374866122222
CYP2S1	9.44590555400617e-07	-1.32894914322222
	1.0575436927777e-06	-2.49931756116667
FLVCR2	1.15482990522476e-06	-2.27849854244445
IL1A	1.45603698295394e-06	-1.35002649883333
	1.52498278648086e-06	-2.81930309688889
KCTD12	1.61604528741621e-06	-2.50473374333333
PEA15	1.63488122426642e-06	-2.22382764977778
RIN2	2.04145821843066e-06	-2.59521433744445
ANO5	2.25471420789542e-06	-1.75298364394445
	2.87699384159316e-06	-1.08327050511111
RASL11A	3.00162920091113e-06	-1.29183722811111
SLC6A12	3.00162920091113e-06	-1.51945596144445
C16orf70	3.00162920091113e-06	-1.30212932183333
FFAR4	3.18425650375913e-06	-1.34552506544444
	3.20698062730045e-06	-2.4189048325
TMEM150B	3.40878662043479e-06	-1.62647151111111
ALDH2	4.5857978853329e-06	-3.39690018572223
GPBAR1	4.66269818050869e-06	-1.42908077316667
TIAM1	4.66269818050869e-06	-3.44824431761111
PELI3	4.75075695276298e-06	-1.38459479572222
CPAMD8	5.13474959604687e-06	-1.311954845
GLB1L	5.20740239641151e-06	-1.64176219344445
FZD1	6.49511439728997e-06	-1.53679437022222
ZDHHC7	7.13690683981038e-06	-1.33847567344445
SMCO4	7.60814593154274e-06	-2.85672023522222
GPR34	8.05578284391994e-06	-2.02559626033333
C9orf47///S1PR3	8.33620124941665e-06	-2.29094306961111
FOLR3	8.44375063388372e-06	-2.72698097366667
TBC1D12	8.48475085017537e-06	-2.6848489405
CMKLR1	8.70256218057379e-06	-2.21640417666667
CLEC4D	8.79010443042389e-06	-4.07871456777778
SIGLEC1	9.47671292785138e-06	-1.26864358916667
PCSK5	1.24405926388961e-05	-2.85087787422222
PLD2	1.28946447962869e-05	-1.73631476977778
FAM21A///FAM21C	1.34463192119006e-05	-1.62985700911111
C3	1.42935306094563e-05	-1.63313177316667
SEPT10	1.4528171153498e-05	-2.104588529
SOWAHC	1.65286947392313e-05	-1.29566507777778
KCNE1	1.65286947392313e-05	-1.86777970194444
PDK4	1.76364907313478e-05	-3.60849055361111
	2.24529413760726e-05	-2.11552808022222
SIGLEC7	2.3795573105507e-05	-2.68900607166667
S100A12	2.47970774233448e-05	-5.51690073361111
	2.63067805952445e-05	-2.58283813522222
MTMR11	2.96932363383027e-05	-1.03756002277778
HMOX1	3.24035386921344e-05	-2.58993099766667
HPSE	3.29847801116157e-05	-3.22122181916667
ARHGAP31	3.34245903565119e-05	-3.12514242488889
LILRA5	3.36101054357799e-05	-4.26813110355556
	3.58519077447289e-05	-1.62514091894445
TNFSF12-TNFSF13///TNFSF12///TNFSF13	3.92757919615724e-05	-1.92683946611111
LILRA6	3.97074156753847e-05	-3.11746409633334
CLEC4F	4.00559802956018e-05	-1.26132480461111
TMTC1	4.12726236380301e-05	-1.60404036883333
CLEC10A	4.4725392693011e-05	-1.46937320177778
PUDP	4.52932281562942e-05	-1.60594891488889
CYP1B1-AS1	4.62285410351302e-05	-1.30318439388889
CLEC1A	4.62285410351302e-05	-2.40614118794445
FAM151B	4.67314782971584e-05	-2.13618982305556
	4.68403222115367e-05	-2.89805549483333
SLC7A7	5.33942050108978e-05	-4.09387063466667
CCDC170	6.04838844097512e-05	-1.83139521594445
CD101	6.12999579721967e-05	-2.780075123
CCDC149	6.20917124719031e-05	-1.90100690155556
KCTD11	6.51621008031038e-05	-1.03954669394445
	6.56447176051425e-05	-1.59405181466667
RRAS	6.56447176051425e-05	-2.31947336138889
FKBP15	6.67920997337858e-05	-1.67581112277778
FCAR	6.67920997337858e-05	-3.70062255511111
SIN3B	6.67920997337858e-05	-1.00704146383334
CLEC4E	6.75898774460417e-05	-4.97631002577778
FAM20C	6.8340244409571e-05	-1.50629818172222
PRLR	6.91144998805689e-05	-1.54593420366667
ZNF703	6.93995402094434e-05	-1.17669982722222
AZI2	7.18517440970387e-05	-1.62544924861111
TLR5	8.22554382027364e-05	-3.50299645827778
C2CD2L	8.42554127740203e-05	-1.41666445411111
LILRB4	8.52725132390815e-05	-2.59859238155556
GFRA2	9.00542822839258e-05	-1.48351326327778
CDA	0.000101060363877381	-3.71651624355556
SIGLEC14	0.000101216992269408	-2.40747200783333
NAAA	0.000104572023704741	-2.07406312283334
IQSEC2	0.000104572023704741	-1.40953313888889
	0.000104689038776611	-1.03436052072222
	0.000111041946528573	-2.13009754372222
NAGK	0.000113490637784095	-2.16003259483333
SCO2	0.000121253898150419	-1.52801927033333
FUCA1	0.000121253898150419	-2.21367643316667
METTL9///METTL9	0.000121400714989909	-1.02319472716667
MBD2	0.000126112176072722	-1.20885580933333
ABI3	0.000128487293204098	-2.08920471455556
RAB28	0.000128921572393899	-1.26677669277778
RASSF4	0.000138076086206436	-2.74539562322222
CRISPLD2	0.000143272130300065	-3.39407965133334
TTYH2	0.000161128898528457	-1.50621393455556
LIPN	0.000161787681252083	-3.61306986438889
	0.000165931355764108	-2.4043560865
SRC	0.000167193267426396	-1.08842755538889
SECTM1	0.000170560356157577	-3.59728275555556
LPAR1	0.000180773374075911	-2.26479071927778
C15orf48	0.000180773374075911	-1.20358676783333
	0.000181558632382336	-2.01369941405556
RCVRN	0.000182619343050707	-1.69874195916667
SNTB2	0.000182984845526928	-1.71123917227778
PDP1	0.000182984845526928	-1.82829589716667
ATP6V1F	0.000190354699174498	-1.19471474972222
SPG21	0.000191133335969377	-1.23425433627778
	0.000206585203258564	-1.27636303966667
APOBEC3A_B///APOBEC3A	0.000226661083019744	-4.30351251627778
GNS	0.000229313097613034	-1.85166914672222
CLEC4G	0.000238134690352416	-1.23305911616667
OSBPL11	0.000238767420569159	-2.34699850861111
YWHAB	0.000240854983741192	-1.43363697961111
STX12	0.00024507647153758	-1.28641801361111
MRAS	0.000247973888547141	-1.64403595083333
ASPHD2	0.000252998489241548	-1.77310253105556
ANXA2P1	0.000252998489241548	-1.48237164494445
BORCS7-ASMT///BORCS7	0.000260109635617227	-1.27491968144444
PLBD1	0.000260109635617227	-5.03922168005556
TRIM4	0.000264640170861783	-1.44036778683334
SUFU	0.00026712936823875	-1.16587505844444
SLC16A6	0.000268459540383417	-3.54094382294445
	0.000275088169932254	-2.32765962116667
STEAP4	0.000275338527740752	-5.21382040227778
MAPK7	0.000276313257723004	-1.16069943516667
	0.000277707182732791	-1.4790919725
TMEM176B	0.000284888784948206	-1.54873497633334
CD300LB	0.000291628992785177	-2.55420408616667
FAM110B	0.000291738349910033	-1.42030876361111
PPARGC1A	0.000297761586120997	-1.35289151483333
PLA2G4C	0.000314586350103127	-1.11340489161111
LILRB1	0.000338394290269155	-2.66843906127778
P2RX7	0.000343552142901499	-2.25059421388889
TMEM86A	0.000353080493703034	-1.05181173733333
NHS	0.000359999705115872	-1.60245475494445
	0.000363939873364057	-3.09375645094445
SIGLEC9	0.00036411800475526	-2.86934881561111
ST6GALNAC3	0.000370713010298672	-2.65768887233333
TSHZ3	0.000375496199942724	-3.07867751194444
CES1P1	0.000380511521155979	-1.55014043
LILRA1	0.00039226916537628	-3.85170557038889
ARSG	0.000400785371720036	-2.55947079794444
NFAM1	0.000413410564663605	-2.50554541122222
CCR2	0.000416202470851658	-3.15418301994444
ADAP1	0.000460795080874358	-2.155670516
GAA	0.000460795080874358	-1.50331846605556
CD163	0.00047965660540808	-2.26802754133333
LINC01465	0.000488741672316071	-1.16287816772222
MS4A6A	0.000488741672316071	-3.35180927011111
	0.000497466041552098	-1.42875577527778
PRKACA	0.000501265665172307	-1.30815431177778
CD300C	0.000515954123262803	-1.70684138088889
ACER3	0.000545045550085915	-1.91773630977778
SULF2	0.00055946572366207	-3.51970820961111
MAFB	0.000574824088027734	-2.20479708433334
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1	0.000576724289751345	-4.04010981738889
LILRB2	0.000576724289751345	-3.58188852905556
RNF185	0.000617920238575193	-1.25082270311111
FMO5	0.000642324574322463	-1.97884518261111
LILRA6	0.000673224444583905	-3.55564411438889
MCUB	0.000676109537508059	-3.1634081715
	0.000679810760331151	-3.12135533227778
KCTD21	0.000687352747973243	-1.49733513344444
LINC00324	0.000692016460355525	-1.97179690738889
ARHGEF11	0.000692016460355525	-2.38812431438889
	0.000707873975259464	-2.85659024788889
	0.000707873975259464	-2.82718308644445
PILRA	0.0007117674492449	-3.35345641283333
	0.000752487626593777	-1.62526554088889
ARF5	0.00076581485984742	-1.32365054438889
SCIMP	0.000775071672355805	-4.26054988377778
NEBL	0.000788864559523422	-2.1167593565
LY96	0.000788864559523422	-4.02800096983333
CD86	0.000792095614814267	-3.27283433144445
KIAA0513	0.000815760260925703	-2.47079911994445
PTPN18	0.000815760260925703	-1.82803692322222
CX3CR1	0.000821142437081441	-3.90773224888889
SIRPD	0.000826939638653674	-2.70907114666667
PDE6H	0.000845111754695367	-1.10203583516667
NPC2	0.000871903479724838	-1.82775902516667
F5	0.000871903479724838	-3.61361441933333
SLC29A3	0.000872745503087623	-1.09217099466667
	0.000882363808663817	-2.28776227022222
	0.000896694385426089	-1.18949468122222
FLJ30064	0.000896694385426089	-1.71162720566667
MAP3K3	0.000960359870218544	-1.8271116805
TIRAP	0.000960359870218544	-1.75498106305556
	0.000983258235852077	-1.06701706211111
VIPR1	0.00102413712324951	-1.86978749538889
PQLC3	0.0010323142844494	-1.57125311661111
ADPRH	0.00103527725833268	-1.36012363966667
TCN2	0.00103578151983253	-1.19652914316667
UBE2D1	0.0011146224509521	-2.51013386422223
NLRP12	0.0011146224509521	-3.41046358322222
PSAP	0.0011197745471275	-1.81600035466667
EAF1	0.00113362326156283	-1.01075348483333
TMSB4XP6///TMSB4XP2///TMSB4XP1///TMSB4X	0.00115140069839891	-1.10177398522222
CLEC4A	0.00116413733114774	-3.48239927588889
	0.0011921652344784	-1.60808638844444
SLC25A40	0.00122527703603502	-1.41048675355556
LIMK1	0.00122527703603502	-1.1104658855
CD14	0.00123440634900064	-4.22353868744444
QPCT	0.00123440634900064	-3.65767993694444
PPFIBP2	0.00123440634900064	-2.37463873755556
RMDN2	0.00124536831328447	-1.98678044966667
LINC00189	0.00125854565761012	-2.37716142566667
TLR7	0.00125854565761012	-3.6251005305
	0.00126441697409892	-1.32843243211111
SGK1	0.00127298222713494	-3.094943427
RNVU1-19	0.00129287653857106	-1.683476395
IL18BP	0.00133111918700391	-1.00683774388889
NLRC4	0.00136011129418816	-2.9033109855
	0.00136756434637435	-1.39790562322222
MCOLN1	0.00139504543234301	-1.63140523755555
C9orf106	0.00139504543234301	-1.3495840945
	0.00139504543234301	-1.61758412083333
CDC42EP1	0.00139841421423032	-1.02387841094445
	0.00143208985570757	-1.48738023111111
HEXB	0.00143285254027522	-1.40740600305556
CTSB	0.00143812969781365	-1.73935301027778
CKAP4	0.00151494397744442	-1.84113717633333
CES4A	0.00151494397744442	-1.57201661822222
LOC100130924	0.00152539369212436	-1.02571812116667
	0.0015822769531396	-1.395566111
NOD2	0.0015972587350513	-2.47315292083333
CPVL	0.00160170931924208	-2.67165830538889
WLS	0.00160977574595761	-3.82429199305556
EXT1	0.00166083438989052	-2.71170270205555
SNX27	0.00172565561723992	-1.401213777
RGAG4	0.00174801529760791	-1.07469520805556
GPR137B	0.00176693887498256	-2.28531330966667
HLA-DPB1	0.00176693887498256	-3.03348846777778
PKP2	0.00177123716738207	-1.32325251288889
CD68	0.00177496104602805	-2.45059421744444
POU2F2	0.00177496104602805	-1.58225602272222
	0.00177496104602805	-1.91240786477778
SAT2	0.00177496104602805	-1.5105334285
SLAMF8	0.00179802013296362	-1.15855522216667
HORMAD1	0.00179802013296362	-2.97019747816667
MINK1	0.00180020062208213	-1.52957468072222
FTH1P5	0.00180717637319587	-1.2122850185
CLEC7A	0.00182749020623696	-4.19037325244445
	0.00186300501836135	-1.01627517133333
COLEC12	0.00191325484191708	-1.22110778827778
CSTA	0.00198066993179698	-3.26472414716667
	0.00198296164806903	-3.32399485116667
GIMAP8	0.00201509852655656	-2.64776021894444
	0.00201602863123436	-1.55645249238889
LINC00610///COMMD9	0.00202079639291196	-1.21785438261111
FAM110A	0.00205984787436116	-1.28405189194444
SIRPB1	0.00206088348636502	-3.56244821711111
VCAN	0.00207950399819863	-3.78193211444444
MFSD5	0.00209046522416932	-1.35993405438889
GLT1D1	0.00211554245058949	-4.40779002066667
CC2D2B	0.00219330222657496	-1.3657244605
FGD6	0.00219501376927669	-2.44504427516667
EEF1DP3	0.00227094396407972	-1.09344785755555
CALML4	0.00227300628860996	-1.52721113244444
ZC2HC1A	0.00227300628860996	-2.72722251572222
LGALS3	0.00227300628860996	-1.79794999877778
GNGT2	0.00227300628860996	-1.41462672555556
EGR2	0.00230775434880604	-2.22841842083334
SLC12A9	0.002317486465151	-1.83414711088889
OSCAR	0.00236271281572183	-1.45767862111111
TIGAR	0.00239287578970196	-1.69921217461111
TBC1D8	0.00242098122795771	-2.21558460466667
FAM129B	0.0025093099698541	-1.21896689394445
	0.00251530763970702	-1.04704673966667
CREB5	0.00257852861700024	-3.62810058883334
TLR8	0.00258582892621451	-3.73249875894445
	0.00258771728788319	-2.09643877005556
NHLRC1	0.0025902939451039	-1.15014446722222
	0.00275223808636113	-1.51511784916667
CLN5	0.00276996973903772	-1.52156676116667
MEFV	0.00278576922208106	-2.88226980161111
SLC11A1	0.00283817519878195	-3.50950921394445
	0.00286155887949419	-1.69283103405556
GPR108	0.0028747861854205	-1.08118844455556
IQGAP1	0.00288365673017349	-1.64271602788889
CEBPD	0.00294668235242101	-2.673683927
CALHM2	0.00297180707413466	-1.2585799415
ATP6V0D1	0.00305055143407511	-1.86978311116667
EIF4E2	0.00311837872233883	-1.06172703655556
ABHD6///ABHD6	0.0031230724523008	-1.53340016255556
FFAR3	0.00314238175200223	-1.18346920088889
KCNK6	0.00314506401874775	-1.19381281044444
NCF1C///NCF1B///NCF1	0.00321074293300548	-2.05246042855556
KCNMB1	0.00337146254362985	-1.73793838294444
DPH3P1	0.00338184924261115	-1.05524617388889
	0.00341024573777709	-3.87807641538889
LIN7A	0.00341483105062005	-3.12821229127778
USP3	0.00345397215616711	-1.72372969138889
	0.0035420391792358	-2.67221150394444
LILRB3	0.003593748468605	-3.54768773194445
SNX30	0.00369437439316659	-1.36289597266667
REEP5	0.00370175716892319	-2.23768810994445
SELT	0.00372907333923895	-1.1112246025
ULK2	0.00372907333923895	-1.9016305655
AGPAT3	0.00372907333923895	-1.21941785872222
CCR1	0.00376448503559484	-3.33923428644445
ABCD1	0.00386714135314461	-1.42127470222223
LRRC25	0.00390056899239231	-2.65636317366667
DPH3	0.00390056899239231	-1.08121545572222
MARCH1	0.00392703449076058	-3.47145641755556
GOLM1	0.00404369594018489	-2.45720539683334
SH2D1B	0.00407151047280672	-1.35311449683333
MARC1	0.00411040897671521	-2.40194509294444
	0.00412554527523067	-1.34133568261111
TRIM39-RPP21///RPP21	0.00412554527523067	-1.7103371745
	0.00424631886352037	-1.50819953005556
TMEM38A	0.00426096198245912	-1.21764682983333
VNN2	0.00428998691003576	-4.63894034844445
SIDT2	0.00448212569762908	-1.7192726985
	0.00450457661270063	-2.23485626616667
RAB24	0.00450457661270063	-1.59622740711112
FAM50A	0.00464250036282108	-1.12959644672222
SDC3	0.00465713012933957	-1.13396404377778
SLC2A6	0.00467154864122071	-1.31730776322222
WARS	0.00468979390206074	-2.06858881427778
MFSD7	0.00468979390206074	-1.05365195838889
C5AR1	0.00468979390206074	-3.71199166455556
KIF1C	0.00470792946285543	-1.22296161877778
TDRD9	0.0047176559711018	-2.09189922188889
IKBKG	0.0047176559711018	-1.27518810794445
OAS1	0.00472709188148911	-2.45669892188889
	0.00473045406502537	-1.46852626883333
IER3	0.00477483867522255	-1.97016301177778
	0.00482453852767867	-1.20399838133333
NFE2L3	0.00497797585887228	-1.25650864766667
HK3	0.00501060306438692	-2.10804696361111
	0.00501060306438692	-1.14827903944444
IGSF6	0.00509965245506267	-3.79478837811111
HDX	0.00510696818805049	-1.05247146216667
MB21D2	0.0051519162540041	-2.08400640172222
KCTD6	0.00519274442126032	-1.28845241977778
PDE4A	0.00519705822456147	-1.15843783827778
	0.00519735045587965	-1.51878806277778
MAPRE3	0.00519861131054511	-1.91405528988889
CSF1R	0.00531619730572967	-2.02063465761111
	0.00534106284719215	-1.80802564733334
TMOD2	0.00534106284719215	-2.78569100355556
GABBR1	0.00535694655589351	-2.24508249288889
DHX57	0.00536657738308783	-1.29998370883333
	0.00546079163395548	-1.65340456277778
TFEB	0.00550000797209758	-1.79537866705556
	0.00557549664912074	-1.1687341005
	0.00560804640480837	-1.61540969033333
CCZ1B///CCZ1	0.00562193760030403	-1.48702745738889
GLMP	0.00562193760030403	-1.79233420188889
TBC1D2	0.00564292731379039	-1.63986203683334
CNEP1R1	0.00580372835613994	-1.20508145127778
SPINT1	0.00580372835613994	-1.13035165477778
	0.00586511266363603	-1.60534069577778
SULT1A2	0.00586889565815638	-1.5442647495
CC2D2B	0.00594901244436963	-1.26801020522222
RNF135	0.00595147201399043	-1.52958775427778
	0.00598385423588295	-1.14770209638889
SLC15A3	0.00601559371240319	-2.42634034988889
	0.00601559371240319	-1.441082057
EVI2A	0.00611240023291373	-2.81673415277778
POTEF///POTEJ///POTEM///POTEE///POTEKP	0.00618682924373282	-1.08189597877778
FAM114A1	0.0062821758703097	-1.42314930211111
TADA2B	0.00632365120324348	-1.6110741075
KCNQ1	0.00638561034779682	-1.69597074916667
CPEB3	0.00644156827349368	-1.11747699433333
RASSF3	0.00644156827349368	-2.54219160816667
TMEM268	0.00647392100286484	-1.08163171816667
SGSH	0.0065337903712333	-2.05876041772222
TMEM120A	0.00653636659584902	-1.33455516016667
ROGDI	0.00659825158269102	-1.34811694222222
STK38	0.00660646514548755	-1.70925332233333
C6orf120	0.00675203168509931	-1.06233274511111
ZNF710	0.006774598334914	-1.10554259344444
FAM217B	0.00681888032530427	-1.90781772933333
BMPR2	0.00681888032530427	-2.72263166327778
SNX24	0.00682688044520911	-1.54366494011111
MEGF9	0.0068517389807678	-2.5496517165
G0S2	0.0068811763543898	-3.1230427915
ADGRE3	0.00698327564492636	-3.87293025888889
CDH23	0.00711732281463817	-1.367811793
CCSAP	0.00713125392138533	-1.08709527361111
	0.00724957128262604	-2.71186785233333
ODF3B	0.00728545279227466	-1.38831136561111
CECR6	0.00731209731493238	-1.07188046222222
ATP6AP2	0.00738317697928603	-1.05441963572223
KCTD7	0.00743502104880058	-1.498022754
VTI1B	0.00744696998941499	-1.25659649994445
TSPO	0.00750198537139257	-1.49673721677778
CCL2///CCL2	0.00767764583868341	-2.26178537688889
CXCL16	0.00774509326777222	-3.06650069872222
COMMD9	0.00782076490091024	-1.03719212638889
GABBR1	0.00782076490091024	-2.52152650638889
FBP1	0.00782076490091024	-2.12213820694445
MLX	0.00789060496684842	-1.11624148622222
NHSL2	0.00795624736266905	-2.52300885533334
LACTB	0.00798464671460994	-1.67046037916667
MYOF	0.00799458380963854	-2.005181771
LSM6	0.00804598561418056	-1.00940673594445
PPM1M	0.00810681222599359	-1.68766165194445
	0.00812314493385118	-1.59101706477778
	0.00854729796705671	-1.37729235911111
	0.00855495546313415	-1.01360259927778
PRELID1	0.00862977823288592	-1.02480199327777
GPR155	0.00872671772726125	-2.92935460177778
PPT1	0.00887599678111128	-1.28674873922222
	0.00899308627353344	-1.060474315
NDUFA2	0.00899308627353344	-1.242613987
VAMP3	0.00899811141978221	-1.33320162344444
OAS3	0.00903004898615359	-1.84081833188889
RNPEPL1	0.00920832921780689	-1.1342497635
C14orf119	0.00924693258738936	-1.20270860916667
LOC729603	0.00934607177153257	-1.83580972377778
	0.00940393811196437	-2.26176532355556
MAN1C1	0.00954687770667094	-1.46844024905555
ZFP36L1	0.00956202635889847	-2.91230278033334
STS	0.00958077870629088	-2.01278481677778
CCNY	0.00958430426101475	-1.29631892861111
CLMN	0.00959343829287818	-2.53765230611111
GPR162	0.00962542216125327	-1.41651999538889
OAZ1	0.00975270976161918	-1.1949502215
SLC31A1	0.0097640410646977	-1.89647010727778
ABAT	0.00984536257500476	-1.51361987083333
GRINA	0.00989436279745201	-1.00171198111111
EVI5	0.00991392442309514	-2.4244792375
	0.0100819473994797	-1.69556092305556
EPHB2	0.0100819473994797	-1.08595450872222
RNF111	0.0101421548799119	-1.23054122366667
	0.0101531429612675	-1.10815935805556
FGD4	0.0101690916999446	-2.37788401394445
ZFHX3	0.0101872324114012	-1.54992361322222
AGTRAP///BRAF	0.0101930183276135	-1.44650002272222
TBL1X	0.0102458919400523	-2.05036234955556
SGMS2	0.0103933616981425	-1.76112678677778
FAM89B	0.0103933616981425	-1.36065547777778
SLITRK4	0.0103933616981425	-1.14973657911111
	0.0104780273616429	-1.47203112472222
MSR1	0.0105040642146525	-2.32310812816667
FPR2	0.0105040642146525	-3.66930842005556
	0.0105040642146525	-1.26346337144445
	0.0105888235394722	-1.0539960575
EEA1	0.0105917767363365	-1.35505629188889
NACC2	0.0106447966494343	-1.37465371405556
IPMK	0.0106731028405305	-1.80600592183333
PADI2	0.0107240131694243	-2.6461235545
CARD16	0.0107463786189796	-2.47602787227778
	0.0107550935109956	-1.75393338377778
SPHK1	0.0107612399767262	-1.26161655127778
CST3	0.0108378390974756	-1.82535209033333
	0.0110394491683641	-1.44763754566667
PTX3	0.0110499328740366	-1.355764556
FMN1	0.0111653331715915	-1.05640466111111
LMTK2	0.0111948899742189	-1.32529260694445
	0.0112338115816658	-2.79980500794444
TMEM179B	0.011241030019938	-1.28424639166667
ZNF354A	0.011241030019938	-1.46092447172222
SIGLEC10	0.0112677816271117	-2.61974953666667
	0.0113597732409435	-1.023730583
GIMAP7	0.0113847905563054	-3.82662645755556
NFKBIE	0.0115887288998447	-1.02015655244444
BRK1	0.0116879550654326	-2.00682871277778
GGT2///GGT8P///GGTLC2///GGT3P///GGT1	0.0117625179108987	-1.12669540988889
BEST1	0.0118511701445418	-2.48952390588889
OSTM1	0.0122274465682872	-1.34818713044445
	0.0123645059719536	-1.29509540266667
GIMAP1-GIMAP5///GIMAP1	0.0125879110990486	-2.71602291411111
FBN2	0.0126233330357291	-2.1382509795
RXRA	0.0126279397167824	-1.90197680194444
MYD88	0.0128134200952784	-1.79510662227778
GIMAP4	0.0128543832439145	-4.04146375516667
MOSPD2	0.0128543832439145	-1.98787614088889
SLC18B1	0.0128838156573596	-2.54218697405556
KRCC1	0.012992790647042	-1.51977702477778
	0.0130561662942732	-3.2411247995
ARHGAP27	0.0131505642885593	-1.46780935183334
APOL6	0.01315584179038	-1.46021270511111
LTA4H	0.0132431639397619	-1.30065440016666
NRGN	0.0132722989781708	-1.55347476572222
FCGR2A	0.0133180674304213	-4.24298815233334
ST3GAL5	0.0133435612767972	-1.76046577566667
EPHX1	0.0133621862289094	-1.23880468427778
	0.0133727344691263	-1.68309348272222
ANKRD36BP1	0.0133727344691263	-1.135974861
RARA///BCOR	0.0135374247033177	-1.79332909566667
NPL	0.0135374247033177	-2.6996316395
S100A9	0.013581434179301	-3.393653224
ZFP92	0.0135966091155277	-1.01192236555556
SETD9	0.0137564001866874	-1.06229865455556
ICK	0.0137564001866874	-1.4458783565
FPR1	0.0139053787150215	-3.58469265622223
	0.0139053787150215	-1.25255872461111
	0.0139053787150215	-1.07486479477778
PPARD	0.0140094502746492	-1.25188702705556
BCL10	0.0140997090994728	-1.00739282772222
SERPINA1	0.0142286004619632	-3.58858197027778
C5AR2	0.0144035097718515	-2.78286210105556
FRAT1	0.0144486119572646	-1.75689711461111
SNN	0.0144563294125267	-1.38354765105556
ZNF277	0.0145003830324941	-1.10098451216667
CES1	0.0145437570408414	-2.94270379494445
UTS2	0.0145738670071097	-1.88707454427778
LRRK2	0.0146617083431026	-4.05775037861111
CECR1	0.0152072437463239	-2.67431934866667
